,X,Y,Z,Cluster,ClusterZ
115979,-7.472083304912899,33.6454167248752,9236.48828125,0,3
115980,-7.463749971612899,33.6454167248752,4493.365234375,3,0
115981,-7.455416638312901,33.6454167248752,5598.7802734375,0,3
115982,-7.4470833050128995,33.6454167248752,7200.28271484375,0,3
115983,-7.438749971712901,33.6454167248752,4508.4013671875,3,0
115984,-7.4304166384129,33.6454167248752,3822.868896484375,3,0
115985,-7.422083305112899,33.6454167248752,4219.86181640625,3,0
115986,-7.4137499718129,33.6454167248752,2951.39404296875,3,0
116680,-7.513749971412899,33.637083391575196,2962.1552734375,3,0
116681,-7.505416638112899,33.637083391575196,3432.9814453125,3,0
116682,-7.497083304812899,33.637083391575196,4260.72509765625,3,0
116683,-7.488749971512899,33.637083391575196,4159.439453125,3,0
116684,-7.480416638212899,33.637083391575196,6591.6181640625,0,3
116685,-7.472083304912899,33.637083391575196,11304.1259765625,0,3
116686,-7.463749971612899,33.637083391575196,8470.0078125,0,3
116687,-7.455416638312901,33.637083391575196,12864.20703125,2,2
116688,-7.4470833050128995,33.637083391575196,12722.8564453125,2,2
116689,-7.438749971712901,33.637083391575196,9392.1337890625,0,3
116690,-7.4304166384129,33.637083391575196,6150.3310546875,0,3
